uid;time;speed_upload;speed_download;bytes_download;bytes_upload
1;2020-03-10 23:05:17.610551+01;29505;189625;165923057;25904816
2;2020-03-11 21:53:27.03585+01;9160;21404;18732141;7871921
3;2020-03-28 11:41:53.606259+01;;;;
4;2020-03-28 11:45:58.742469+01;24840;34128;30079946;22020255
5;2020-03-28 11:48:17.564752+01;16817;30993;27129857;14898496
6;2020-03-29 09:27:05.33431+02;15580;31745;27780302;13787874
7;2020-03-29 09:28:57.419762+02;15692;25057;21925233;13717948
8;2020-03-29 09:34:02.611603+02;12375;34559;30245045;11426772
9;2020-03-29 09:38:50.518459+02;11868;38863;34008270;11008777
10;2020-03-29 10:38:52.950959+02;11610;26981;23617352;10474423
11;2020-03-29 11:38:58.812445+02;6906;37729;33012679;6094403
12;2020-03-29 12:39:01.884126+02;11481;37085;32457161;10552114
13;2020-03-29 13:39:02.467838+02;19936;38324;34109119;17681294
14;2020-03-29 14:39:04.017253+02;11613;39080;34196772;10280970
15;2020-03-29 15:39:12.950651+02;15996;37166;32523461;14514362
16;2020-03-29 16:39:26.491618+02;13747;40692;35614750;12177657
17;2020-03-29 17:39:30.207385+02;11374;39435;34526209;10302872
18;2020-03-29 18:39:33.604093+02;6676;37721;33014190;5445746
19;2020-03-29 19:39:34.179694+02;11729;35349;30936167;10481112
20;2020-03-29 20:39:42.753089+02;18677;23388;20797570;16417645
21;2020-03-29 21:39:45.770506+02;14016;17960;16592367;12750037
22;2020-03-29 22:39:49.253001+02;15140;40007;35006655;13469559
23;2020-03-29 23:39:48.578108+02;17746;33377;29211961;15809452
24;2020-03-30 00:39:53.079836+02;13877;39410;34484534;12277336
25;2020-03-30 01:39:53.574755+02;17438;40085;35077768;16060701
26;2020-03-30 02:39:53.747119+02;25215;39329;34419871;22325740
27;2020-03-30 03:39:53.442004+02;28752;38740;33900263;3612150
28;2020-03-30 04:39:57.651927+02;24245;38238;33532747;21437632
29;2020-03-30 05:40:03.367598+02;15976;40322;35285843;14878674
30;2020-03-30 06:40:02.515904+02;16485;40123;35113429;15058298
31;2020-03-30 07:40:02.804934+02;17196;37354;32694159;15158379
32;2020-03-30 08:40:03.809891+02;8456;39161;34265841;7161249
33;2020-03-30 09:40:04.628905+02;20961;37494;32807534;18168696
34;2020-03-30 10:40:10.813685+02;17448;40073;35067775;14624503
35;2020-03-30 11:40:17.785656+02;16081;23806;22019546;14429710
36;2020-03-30 12:40:22.412268+02;14145;32582;28514307;12862373
37;2020-03-30 13:40:22.278894+02;16292;34203;29931241;14299390
38;2020-03-30 14:40:29.546182+02;12772;37506;32902464;10920557
39;2020-03-30 15:40:28.959751+02;13965;33846;29619026;12379831
40;2020-03-30 16:40:37.78789+02;10404;34889;30540201;9130741
41;2020-03-30 17:41:09.547584+02;;;;
42;2020-03-30 18:40:42.383624+02;15152;37571;32877953;14308425
43;2020-03-30 19:40:45.249395+02;19317;30649;26820879;17015102
44;2020-03-30 20:40:52.939249+02;9010;27147;23756202;8269897
45;2020-03-30 21:41:03.178627+02;18332;30751;26942558;16699303
46;2020-03-30 22:41:07.715501+02;15610;34410;30108776;13656647
47;2020-03-30 23:41:12.640184+02;11606;37714;33004454;11078204
48;2020-03-31 00:41:21.494872+02;13380;35280;30869907;11926943
49;2020-03-31 01:41:24.633418+02;18139;35158;30768915;16288362
50;2020-03-31 02:41:31.335533+02;10425;36586;32021274;9839231
51;2020-03-31 03:41:39.276676+02;11223;32323;28282793;9847877
52;2020-03-31 04:41:42.738883+02;16239;40410;35359603;14850141
53;2020-03-31 05:41:43.63892+02;12472;33946;29721855;11024242
54;2020-03-31 06:41:50.934997+02;17559;40878;35768610;15475827
55;2020-03-31 07:41:57.401295+02;13784;32948;28832252;12337129
56;2020-03-31 08:41:59.311837+02;9750;32622;28548900;8648155
57;2020-03-31 09:42:01.875877+02;13775;31765;28388011;12216078
58;2020-03-31 10:42:05.413642+02;17208;33950;29707691;14484044
59;2020-03-31 11:42:03.280053+02;19505;34043;29792954;17335163
60;2020-03-31 12:42:05.736359+02;12125;27274;23866279;10874881
61;2020-03-31 13:42:13.868195+02;1641;1518;1331575;1478243
62;2020-03-31 14:42:13.874084+02;12076;34973;30606901;10775864
63;2020-03-31 15:42:16.009849+02;16003;33709;29506074;14423651
64;2020-03-31 16:42:24.110051+02;14465;27897;24410141;12788622
65;2020-03-31 17:42:24.195533+02;11484;24388;21478290;10708307
66;2020-03-31 18:42:27.560352+02;12839;30760;26917359;11392623
67;2020-03-31 19:42:34.463906+02;13111;32868;28761008;11973686
68;2020-03-31 20:42:38.386038+02;9140;27430;24218537;8002427
69;2020-03-31 21:42:42.717463+02;17312;33802;29578304;15334008
70;2020-03-31 22:42:50.467203+02;16243;33230;29081032;14403492
71;2020-03-31 23:42:52.511511+02;25993;35656;31200104;4609029
72;2020-04-01 00:43:00.605046+02;19130;33771;29550082;15756957
73;2020-04-01 01:43:00.316729+02;15182;35240;30837193;14107470
74;2020-04-01 02:43:04.222773+02;19617;35765;31294766;15458109
75;2020-04-01 03:43:04.557292+02;11601;33572;29430588;10522269
76;2020-04-01 04:43:03.978516+02;16554;34541;30226892;14541997
77;2020-04-01 05:43:04.627927+02;16151;36056;31553872;14759545
78;2020-04-01 06:43:12.905355+02;14261;39783;34814591;12617330
79;2020-04-01 07:43:17.934361+02;13389;38372;33577246;11734820
80;2020-04-01 08:43:18.649972+02;26478;39607;34704086;23436665
81;2020-04-01 09:43:24.004432+02;17237;32030;28666363;14709903
82;2020-04-01 10:43:24.403023+02;13689;30841;26988371;10740103
83;2020-04-01 11:43:27.087999+02;28307;32737;28654299;2718730
84;2020-04-01 12:43:32.647875+02;12020;35674;31215063;10633295
85;2020-04-01 13:43:33.216698+02;15370;29860;26130199;13543446
86;2020-04-01 14:43:33.357194+02;14064;31608;27660931;12394568
87;2020-04-01 15:43:36.275412+02;12569;30609;26785223;11179759
88;2020-04-01 16:43:42.907887+02;16537;28865;25261463;14603360
89;2020-04-01 17:43:49.964864+02;10300;35876;31396900;9358347
90;2020-04-01 18:44:00.658132+02;20253;28639;25061288;19277473
91;2020-04-01 19:44:02.714813+02;14981;28488;24929975;13264745
92;2020-04-01 20:44:04.163979+02;24537;32789;29481287;21538253
93;2020-04-01 21:44:05.277518+02;14036;31271;27366104;12064998
94;2020-04-01 22:44:10.276366+02;15731;34030;29778387;13778610
95;2020-04-01 23:44:09.820216+02;17632;33002;28969958;16219495
96;2020-04-02 00:44:16.734555+02;16147;35981;31484494;14088885
97;2020-04-02 01:44:19.294122+02;18831;41593;36394995;17263652
98;2020-04-02 02:44:24.088017+02;24523;39666;34709383;21621131
99;2020-04-02 03:44:32.819289+02;14107;40298;35267230;12481977
100;2020-04-02 04:44:40.904526+02;18851;40811;35715935;17178086
101;2020-04-02 05:44:40.864743+02;17819;38415;33613775;15830094
102;2020-04-02 06:44:42.325552+02;26417;35291;30880133;23415613
103;2020-04-02 07:44:50.135638+02;25470;33852;29621706;22485215
104;2020-04-02 08:44:54.276532+02;23803;37951;33209388;21237244
105;2020-04-02 09:45:00.031422+02;17323;37296;32635806;15125722
106;2020-04-02 10:45:07.591382+02;12606;37268;32611345;11304955
107;2020-04-02 11:45:11.635514+02;13051;38532;33719870;12659219
108;2020-04-02 12:45:20.931336+02;13350;35140;30749550;11887951
109;2020-04-02 13:45:23.046755+02;19375;30630;26808220;16018520
110;2020-04-02 14:45:32.19658+02;14907;29503;25817013;13119963
111;2020-04-02 15:45:38.588889+02;12986;24684;21599971;11557888
112;2020-04-02 16:45:44.305064+02;14586;37284;32624768;12875198
113;2020-04-02 17:45:51.462782+02;12254;35044;30679808;11622268
114;2020-04-02 18:45:56.513148+02;17842;32695;28617054;15641661
115;2020-04-02 19:45:56.716237+02;13418;24628;24030889;12123144
116;2020-04-02 20:46:04.761462+02;12167;35464;31031690;10765666
117;2020-04-02 21:46:05.133976+02;29140;38594;33770741;1977624
118;2020-04-02 22:46:07.997759+02;24997;39383;35154822;22074768
119;2020-04-02 23:46:12.172661+02;23103;34380;30082462;20449431
120;2020-04-03 00:46:19.457458+02;14873;33930;29688972;13263893
121;2020-04-03 01:46:20.527742+02;14455;39235;34331298;12784485
122;2020-04-03 02:46:27.528333+02;16055;39029;34152276;14298827
123;2020-04-03 03:46:26.949924+02;28226;33286;29981559;3912621
124;2020-04-03 04:46:26.412301+02;12145;34487;30196225;10938152
125;2020-04-03 05:46:31.078114+02;15510;33104;28967145;14048158
126;2020-04-03 06:46:37.652367+02;9995;33652;29445844;8813744
127;2020-04-03 07:46:40.597829+02;19078;37895;33158569;17563769
128;2020-04-03 08:46:44.583579+02;24860;38112;33400703;21900646
129;2020-04-03 09:46:49.231882+02;20004;36405;31860763;17779842
130;2020-04-03 10:46:53.200889+02;12678;32936;28822507;11143326
131;2020-04-03 11:47:01.530009+02;18081;35980;31485258;15980095
132;2020-04-03 13:34:18.824897+02;10878;35538;31095883;9537788
133;2020-04-03 13:39:56.656405+02;14639;29715;26001407;12853064
134;2020-04-03 13:41:02.653382+02;;;;
135;2020-04-03 13:44:10.256378+02;3729;4704;4119832;3245629
136;2020-04-03 13:52:09.8414+02;2354;8871;7770142;1977880
137;2020-04-03 14:57:57.353049+02;4289;5427;4749085;3456261
138;2020-04-03 15:58:00.771824+02;4280;4192;3680835;3732873
139;2020-04-03 17:01:34.600849+02;6102;8054;7049681;5360956
140;2020-04-03 18:01:39.300502+02;4017;4102;3590024;3534156
141;2020-04-03 19:02:00.434786+02;6477;4385;3837379;6348778
142;2020-04-03 20:02:09.016147+02;5229;1945;1701905;4574784
143;2020-04-03 21:02:12.916512+02;7371;1214;1062101;5323111
144;2020-04-03 22:02:13.79703+02;10941;3311;2898951;9589373
145;2020-04-03 23:02:15.952499+02;9011;4438;3883272;7448134
146;2020-04-04 00:02:15.690771+02;4064;4643;4065813;4112021
147;2020-04-04 01:02:24.031452+02;9360;3704;3252445;7400565
148;2020-04-04 02:02:23.654183+02;12430;4962;4344399;10601203
149;2020-04-04 03:02:23.03804+02;11335;6886;6064216;8490903
150;2020-04-04 04:02:23.613901+02;12080;3956;3465830;10719697
151;2020-04-04 05:02:25.644995+02;10575;6497;5713749;9798458
152;2020-04-04 06:02:32.733331+02;12609;7690;6752441;10756282
153;2020-04-04 07:02:39.20034+02;11480;7391;6487958;9713178
154;2020-04-04 08:02:40.007746+02;12067;6088;5345444;10085628
155;2020-04-04 09:02:40.136065+02;12311;3646;3190049;10999348
156;2020-04-04 10:02:45.781773+02;12418;3495;3071337;10519690
157;2020-04-04 11:02:52.170989+02;5326;4771;4177227;4598031
158;2020-04-04 12:02:56.77106+02;7160;8455;7414441;6101273
159;2020-04-04 13:03:04.745257+02;6382;4646;4070627;4875772
160;2020-04-04 14:03:05.752092+02;5215;6203;5496565;4555059
161;2020-04-04 15:03:12.655704+02;5739;5290;4662052;4900498
162;2020-04-04 16:03:13.487521+02;7765;7447;6537151;4125217
163;2020-04-04 17:03:20.774818+02;5782;7432;6504911;3479162
164;2020-04-04 18:03:21.634012+02;6863;5404;4730357;3957720
165;2020-04-04 19:03:20.645869+02;6151;3385;2993344;5325748
166;2020-04-04 20:03:27.473703+02;6369;5773;5055034;5291032
167;2020-04-04 21:03:28.700602+02;6456;6219;5442787;5525901
168;2020-04-04 22:03:37.596805+02;6119;8804;7706803;3923061
169;2020-04-04 23:03:37.263806+02;;;;
170;2020-04-05 00:03:39.214708+02;4519;7962;6971612;3302505
171;2020-04-05 01:03:46.235761+02;5437;8654;7572789;4139040
172;2020-04-05 02:03:51.695453+02;4920;11614;10164148;4334291
173;2020-04-05 03:03:51.095842+02;6607;12803;11207675;5466346
174;2020-04-05 04:03:51.10088+02;5192;10878;9524732;3379319
175;2020-04-05 05:03:56.670049+02;5490;13477;11792473;4420540
176;2020-04-05 06:04:04.828235+02;5620;8488;7426645;4252699
177;2020-04-05 07:04:10.349922+02;6143;7727;6769350;3656662
178;2020-04-05 08:04:14.19057+02;5385;9169;8024800;4035402
179;2020-04-05 09:04:16.624322+02;5313;7098;6222362;4048978
180;2020-04-05 10:04:18.599417+02;;;;
181;2020-04-05 11:04:21.752005+02;4210;4464;3915109;3209580
182;2020-04-05 12:04:22.38689+02;5353;6161;5392799;3850918
183;2020-04-05 13:04:25.214421+02;5514;7078;6287190;4537647
184;2020-04-05 14:04:30.569517+02;5814;8280;7255298;5128355
185;2020-04-05 15:04:33.451079+02;4761;5692;4982193;3384603
186;2020-04-05 16:04:34.047456+02;4277;5153;4510041;3793997
187;2020-04-05 17:04:33.530659+02;3845;2137;1871118;3366671
188;2020-04-05 18:04:39.637504+02;4443;6957;6163165;3940260
189;2020-04-05 19:04:43.351899+02;4705;8833;7781420;3270753
190;2020-04-05 20:04:49.674087+02;4032;6549;5737633;3408556
191;2020-04-05 21:04:53.706357+02;4082;4506;3946287;3597871
192;2020-04-05 22:05:00.90563+02;4130;6685;5852127;3604453
193;2020-04-05 23:05:02.879242+02;;;;
194;2020-04-06 00:05:03.222696+02;3792;10849;9493524;3296018
195;2020-04-06 01:05:10.900823+02;4549;13697;11986209;4073967
196;2020-04-06 02:05:11.925765+02;4389;10925;9563483;3904780
197;2020-04-06 03:05:18.623671+02;4928;13198;11547909;3441869
198;2020-04-06 04:05:17.797756+02;4267;11827;10350229;3807598
199;2020-04-06 05:05:21.656437+02;4302;9950;8721506;3872967
200;2020-04-06 06:05:29.196721+02;3787;6918;6066368;3226420
201;2020-04-06 07:05:35.570509+02;3231;12378;10858366;2604671
202;2020-04-06 08:05:42.598158+02;2874;5102;4594327;2510851
203;2020-04-06 09:05:44.399748+02;1750;3878;3396050;1445628
204;2020-04-06 10:05:43.570137+02;2856;6894;6048242;2408192
205;2020-04-06 11:05:49.757519+02;1784;4061;3553925;1310540
206;2020-04-06 12:05:52.284946+02;4357;6807;5963821;3478637
207;2020-04-06 13:05:53.216707+02;2160;7861;6921214;1789948
208;2020-04-06 14:06:01.817304+02;3039;7766;6800568;2507392
209;2020-04-06 15:06:02.083371+02;1904;6615;5787984;1449932
210;2020-04-06 16:06:05.696065+02;3511;5389;4744427;2719616
211;2020-04-06 17:06:06.501017+02;3301;2889;2530424;2518696
212;2020-04-06 18:06:15.270935+02;2708;5466;4796182;1989923
213;2020-04-06 19:06:16.082039+02;;;;
214;2020-04-06 20:06:27.169302+02;3194;6554;5737560;2546060
215;2020-04-06 21:06:26.863609+02;2970;3393;2988708;2623828
216;2020-04-06 22:06:34.537196+02;2311;2997;2622998;1854348
217;2020-04-06 23:06:42.146481+02;3225;5382;4714590;2787318
218;2020-04-07 00:06:45.686313+02;2607;7034;6158073;2184075
219;2020-04-07 01:06:53.670835+02;2704;9144;8004481;2077390
220;2020-04-07 02:06:57.259854+02;2638;7078;6198577;2307922
221;2020-04-07 03:07:04.432989+02;2951;10329;9043318;2581065
222;2020-04-07 04:07:12.668229+02;3013;11108;9721257;2637682
223;2020-04-07 05:07:19.494644+02;3059;11177;9849727;2574127
224;2020-04-07 06:07:21.511826+02;3290;8818;7779145;2873436
225;2020-04-07 07:07:22.34706+02;3619;8738;7646417;2992659
226;2020-04-07 08:07:21.860379+02;3283;10296;9009596;2968472
227;2020-04-07 09:07:22.87111+02;2461;7752;6810132;2168907
228;2020-04-07 10:07:25.88896+02;2307;4817;4219562;1878667
229;2020-04-07 11:07:25.775903+02;2309;8848;7754014;1934197
230;2020-04-07 12:07:27.761183+02;2245;6478;5675132;1816204
231;2020-04-07 13:07:30.002097+02;;;;
232;2020-04-07 14:07:33.234973+02;1718;5846;5122255;1496244
233;2020-04-07 15:07:42.049033+02;1706;4010;3510281;1418695
234;2020-04-07 16:07:44.288821+02;1993;6724;5883350;1478318
235;2020-04-07 17:07:53.088523+02;3834;6600;5777795;3244311
236;2020-04-07 18:07:53.3907+02;2612;2901;2540053;2208168
237;2020-04-07 19:07:52.969292+02;;;;
238;2020-04-07 19:56:49.522751+02;;;;
239;2020-04-07 20:56:55.576093+02;4953;2895;2534548;4219958
240;2020-04-07 21:56:54.511385+02;5432;7082;6197003;4289231
241;2020-04-07 22:57:02.036515+02;6325;6699;6084690;4280593
242;2020-04-07 23:57:05.217723+02;5543;14195;12438645;4346236
243;2020-04-08 00:57:08.072563+02;5530;8439;7392126;4364182
244;2020-04-08 01:57:09.929912+02;5354;14816;12970140;4271178
245;2020-04-08 02:57:09.996919+02;5906;14969;13099760;4574850
246;2020-04-08 03:57:16.652834+02;6169;16991;14873825;4510377
247;2020-04-08 04:57:16.608332+02;6059;15502;13565731;4738611
248;2020-04-08 05:57:18.705383+02;4965;15759;13825465;4129759
249;2020-04-08 06:57:20.525493+02;5212;8603;7533286;4566130
250;2020-04-08 07:57:19.738314+02;;;;
251;2020-04-08 08:57:21.919779+02;2921;10009;8833859;2549352
252;2020-04-08 09:57:21.635977+02;4246;7964;6981598;3729468
253;2020-04-08 10:57:22.840067+02;4465;6251;5481903;3436996
254;2020-04-08 11:57:22.665412+02;4755;5743;5027325;3749238
255;2020-04-08 12:57:24.518534+02;4700;14186;12426000;4090485
256;2020-04-08 13:57:24.863378+02;3486;9367;8196376;3081504
257;2020-04-08 14:57:31.389472+02;4272;8110;7106726;3787915
258;2020-04-08 15:57:30.629403+02;3590;7901;6933339;3202326
259;2020-04-08 16:57:34.667684+02;3269;10030;8801719;2839285
260;2020-04-08 17:57:42.846695+02;3580;5632;4933985;3035567
261;2020-04-08 18:57:42.663408+02;;;;
262;2020-04-08 19:57:48.905278+02;4826;6083;5328494;4238086
263;2020-04-08 20:57:51.03001+02;5255;4940;4323419;4584962
264;2020-04-08 21:57:58.844137+02;4921;2639;2310062;4409525
265;2020-04-08 22:58:01.524547+02;5232;10652;9322727;3434425
266;2020-04-08 23:58:07.982321+02;5804;13305;11654419;3776972
267;2020-04-09 00:58:16.726665+02;5578;15285;13379236;4704325
268;2020-04-09 01:58:20.84354+02;5663;15622;13670827;5063900
269;2020-04-09 02:58:20.916515+02;5739;17676;15486067;4316718
270;2020-04-09 03:58:20.753035+02;6005;17494;15322259;5226937
